epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3860.19,0.65414,1.09241,0.75436,1.02407,0.94432,0.07291,0.11862,0.1018,0.94432,0.07291,0.11862,0.09879,0.70591,1.3659,0.79585,1.09195,0.0008086,0.0008086,0.0008086
31,4036.74,0.6007,1.00339,0.67555,0.98568,0.95168,0.05483,0.12766,0.10985,0.95168,0.05483,0.1133,0.1073,0.70051,1.1787,0.78684,1.10045,0.000802,0.000802,0.000802
32,4219.02,0.6298,0.97345,0.64795,0.99642,0.961,0.07291,0.11249,0.09271,0.961,0.07291,0.11249,0.09656,0.74331,1.22605,0.88032,1.16238,0.0007954,0.0007954,0.0007954
33,4379.19,0.63588,0.98421,0.6824,1.00249,0.91135,0.1021,0.11594,0.08796,0.91135,0.1021,0.11594,0.09614,0.79925,1.30582,1.06508,1.16684,0.0007888,0.0007888,0.0007888
34,4552.98,0.61993,0.95589,0.6466,0.99989,0.90036,0.07291,0.08359,0.07247,0.90036,0.07291,0.08359,0.0762,0.71672,1.65198,0.98948,1.11196,0.0007822,0.0007822,0.0007822
35,4748.75,0.58326,0.89268,0.662,0.98832,0.95422,0.05483,0.07047,0.05762,0.95422,0.05483,0.06704,0.05715,0.77896,1.26499,0.83062,1.13196,0.0007756,0.0007756,0.0007756
36,4929.46,0.59077,0.97255,0.63427,0.97893,0.66206,0.08254,0.12095,0.10097,0.66206,0.08254,0.12095,0.10953,0.77889,1.13597,0.73613,1.16415,0.000769,0.000769,0.000769
37,5089.73,0.60706,0.92972,0.59379,0.98873,0.9629,0.05483,0.10373,0.08873,0.9629,0.05483,0.10373,0.09799,0.78226,1.20528,0.74396,1.16275,0.0007624,0.0007624,0.0007624
38,5251.41,0.62003,0.87801,0.65541,1.00819,0.95812,0.05483,0.12432,0.10052,0.56289,0.06454,0.1282,0.11772,0.77498,1.15147,0.72376,1.17156,0.0007558,0.0007558,0.0007558
39,5410.9,0.59127,0.92466,0.58777,0.97382,0.41356,0.08277,0.15206,0.12426,0.41356,0.08277,0.15206,0.13791,0.70535,1.16201,0.75677,1.1405,0.0007492,0.0007492,0.0007492
40,5572.98,0.61975,0.93672,0.63587,1.00169,0.4345,0.06174,0.18472,0.16075,0.4345,0.06174,0.18472,0.17546,0.7284,1.19195,0.75053,1.1718,0.0007426,0.0007426,0.0007426
41,5744.03,0.55479,0.78329,0.57045,0.96363,0.41543,0.08402,0.1571,0.13888,0.41543,0.08402,0.1571,0.14817,0.71404,1.15944,0.69615,1.13186,0.000736,0.000736,0.000736
42,5899.27,0.58368,0.81818,0.55102,0.98991,0.38737,0.09684,0.16751,0.14846,0.74024,0.09684,0.17451,0.15857,0.69624,1.13466,0.7364,1.10057,0.0007294,0.0007294,0.0007294
43,6080.94,0.6056,0.92308,0.62548,1.00736,0.63572,0.11835,0.19735,0.17373,0.63572,0.11835,0.19735,0.17914,0.71211,1.14996,0.74789,1.1424,0.0007228,0.0007228,0.0007228
44,6257.57,0.58166,1.0446,0.62924,0.99306,0.96767,0.08573,0.19286,0.16789,0.96767,0.08573,0.18957,0.18015,0.70384,1.16595,0.7133,1.10861,0.0007162,0.0007162,0.0007162
