epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,24746.9,0.39078,0.66606,0.35805,0.90001,0.97902,0.69709,0.75704,0.6733,0.97084,0.69091,0.75261,0.61261,0.52537,1.08065,0.50938,1.0047,0.0001684,0.0001684,0.0001684
128,24996.3,0.39284,0.65335,0.37146,0.90227,0.96832,0.75659,0.805,0.71709,0.96083,0.75042,0.80118,0.65109,0.51058,1.08991,0.52067,0.9974,0.0001618,0.0001618,0.0001618
129,25215.8,0.38829,0.61355,0.35819,0.91275,0.94116,0.71275,0.76151,0.6719,0.92664,0.7004,0.75274,0.6207,0.51777,1.10722,0.53257,1.00283,0.0001552,0.0001552,0.0001552
130,25402.3,0.39487,0.59578,0.37965,0.91085,0.94675,0.81488,0.85274,0.7503,0.93933,0.80912,0.84883,0.69072,0.51637,1.09457,0.52917,1.00461,0.0001486,0.0001486,0.0001486
131,25618.7,0.36221,0.60398,0.3588,0.89866,0.95119,0.70184,0.76042,0.67312,0.95119,0.70184,0.76042,0.62436,0.50498,1.08032,0.50878,0.99194,0.000142,0.000142,0.000142
132,25833.9,0.376,0.63882,0.36538,0.89593,0.94457,0.67861,0.73991,0.66652,0.94457,0.67861,0.73991,0.60922,0.50757,1.0863,0.49851,0.98369,0.0001354,0.0001354,0.0001354
133,26016,0.37521,0.62255,0.37089,0.89964,0.94371,0.67229,0.73484,0.6625,0.94371,0.67229,0.73399,0.60705,0.50829,1.0749,0.48489,0.98056,0.0001288,0.0001288,0.0001288
134,26203.5,0.3644,0.64565,0.35778,0.90586,0.91205,0.62429,0.68188,0.60966,0.92057,0.63046,0.68743,0.56507,0.5085,1.07539,0.49303,0.98732,0.0001222,0.0001222,0.0001222
135,26394.6,0.36738,0.612,0.35506,0.89981,0.92224,0.67457,0.73167,0.65737,0.93064,0.68072,0.73756,0.60868,0.50485,1.08472,0.49407,0.98655,0.0001156,0.0001156,0.0001156
136,26571.1,0.37725,0.64664,0.37613,0.91533,0.93785,0.66645,0.73323,0.65392,0.93116,0.67909,0.73797,0.61162,0.50557,1.08635,0.49217,0.98907,0.000109,0.000109,0.000109
137,26769.3,0.35653,0.63794,0.34251,0.88905,0.94687,0.5888,0.65942,0.58222,0.93852,0.58434,0.65899,0.54863,0.50191,1.09248,0.49498,0.9906,0.0001024,0.0001024,0.0001024
138,26945.1,0.37923,0.66105,0.36547,0.90386,0.94629,0.66743,0.73859,0.65649,0.95263,0.6644,0.73773,0.6103,0.49168,1.09803,0.51944,0.98495,9.58e-05,9.58e-05,9.58e-05
139,27142.9,0.37794,0.61776,0.36653,0.90582,0.92472,0.69733,0.75418,0.65605,0.92887,0.68826,0.75187,0.61773,0.50672,1.09498,0.55344,0.99794,8.92e-05,8.92e-05,8.92e-05
140,27334.1,0.3733,0.63156,0.33246,0.90331,0.91203,0.67908,0.73522,0.64961,0.92999,0.66673,0.73756,0.60404,0.5156,1.08528,0.5659,1.00414,8.26e-05,8.26e-05,8.26e-05
141,27535,0.65687,5.65044,0.90733,1.12849,0.93062,0.62429,0.6929,0.61127,0.93062,0.62429,0.69251,0.56861,0.5098,1.09937,0.54469,1.00402,7.6e-05,7.6e-05,7.6e-05
142,27743.6,0.3384,0.60034,0.31869,0.87917,0.90769,0.57645,0.64327,0.57606,0.90483,0.57028,0.64255,0.53338,0.50688,1.07954,0.53822,0.99853,6.94e-05,6.94e-05,6.94e-05
143,27930.7,0.34467,0.58486,0.33868,0.87574,0.92873,0.67,0.73108,0.65655,0.9252,0.66192,0.73058,0.60286,0.49167,1.06692,0.52034,0.98286,6.28e-05,6.28e-05,6.28e-05
144,28117.4,0.33545,0.585,0.33343,0.87919,0.95143,0.7094,0.75811,0.66492,0.93492,0.69712,0.74527,0.61674,0.48039,1.06034,0.50233,0.97428,5.62e-05,5.62e-05,5.62e-05
145,28337,0.32366,0.56521,0.33745,0.89316,0.93475,0.60652,0.66918,0.59412,0.91651,0.59424,0.65767,0.55221,0.47628,1.05517,0.49534,0.9714,4.96e-05,4.96e-05,4.96e-05
146,28516.4,0.33143,0.56921,0.33079,0.88159,0.94843,0.68209,0.74012,0.6605,0.93115,0.66981,0.72776,0.60176,0.47709,1.04578,0.48622,0.97067,4.3e-05,4.3e-05,4.3e-05
147,28692.5,0.30333,0.54327,0.30802,0.86456,0.94519,0.67596,0.73426,0.65714,0.936,0.66985,0.72679,0.59907,0.46545,1.04116,0.48998,0.96523,3.64e-05,3.64e-05,3.64e-05
148,28887.5,0.32943,0.57826,0.32545,0.89215,0.94735,0.71014,0.75403,0.66732,0.93112,0.6978,0.73767,0.61313,0.46305,1.03393,0.49703,0.96497,2.98e-05,2.98e-05,2.98e-05
149,29066.7,0.32956,0.5895,0.32252,0.89079,0.93278,0.62808,0.68363,0.61002,0.92382,0.62191,0.67782,0.5604,0.46595,1.03151,0.50023,0.96752,2.32e-05,2.32e-05,2.32e-05
150,29260.7,0.31679,0.5752,0.32226,0.88666,0.94317,0.70992,0.75292,0.66593,0.92675,0.69765,0.74366,0.61036,0.47159,1.02953,0.50098,0.9737,1.66e-05,1.66e-05,1.66e-05
